Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T02:05:18+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.09, 3.17, 2.79
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
BM_StdVectorIteration/100/iterations:30_cv                    60.11 %        114.56 %             3
BM_StdVectorIteration/1000/iterations:30_mean                  81.5 ns         66.7 ns            3
BM_StdVectorIteration/1000/iterations:30_median                73.6 ns         66.7 ns            3
BM_StdVectorIteration/1000/iterations:30_stddev                16.1 ns         33.3 ns            3
BM_StdVectorIteration/1000/iterations:30_cv                   19.77 %         50.00 %             3
BM_StdVectorIteration/10000/iterations:30_mean                  594 ns          578 ns            3
BM_StdVectorIteration/10000/iterations:30_median                525 ns          500 ns            3
BM_StdVectorIteration/10000/iterations:30_stddev                149 ns          164 ns            3
BM_StdVectorIteration/10000/iterations:30_cv                  25.13 %         28.46 %             3
BM_StdVectorIteration/100000/iterations:30_mean                5681 ns         5678 ns            3
BM_StdVectorIteration/100000/iterations:30_median              5676 ns         5633 ns            3
BM_StdVectorIteration/100000/iterations:30_stddev               223 ns          236 ns            3
BM_StdVectorIteration/100000/iterations:30_cv                  3.92 %          4.17 %             3
BM_StdVectorIteration/1000000/iterations:30_mean              55575 ns        55589 ns            3
BM_StdVectorIteration/1000000/iterations:30_median            55018 ns        55033 ns            3
BM_StdVectorIteration/1000000/iterations:30_stddev             1505 ns         1512 ns            3
BM_StdVectorIteration/1000000/iterations:30_cv                 2.71 %          2.72 %             3
BM_StdVectorIteration/10000000/iterations:30_mean            654450 ns       654444 ns            3
BM_StdVectorIteration/10000000/iterations:30_median          652708 ns       652700 ns            3
BM_StdVectorIteration/10000000/iterations:30_stddev            8558 ns         8551 ns            3
BM_StdVectorIteration/10000000/iterations:30_cv                1.31 %          1.31 %             3
BM_ConstantVectorIteration/10/iterations:30_mean               74.5 ns         77.8 ns            3
BM_ConstantVectorIteration/10/iterations:30_median             38.9 ns         66.7 ns            3
BM_ConstantVectorIteration/10/iterations:30_stddev             64.1 ns         50.9 ns            3
BM_ConstantVectorIteration/10/iterations:30_cv                86.05 %         65.47 %             3
BM_ConstantVectorIteration/100/iterations:30_mean              87.5 ns          100 ns            3
BM_ConstantVectorIteration/100/iterations:30_median            76.4 ns          100 ns            3
BM_ConstantVectorIteration/100/iterations:30_stddev            20.5 ns         33.3 ns            3
BM_ConstantVectorIteration/100/iterations:30_cv               23.39 %         33.33 %             3
BM_ConstantVectorIteration/1000/iterations:30_mean              502 ns          511 ns            3
BM_ConstantVectorIteration/1000/iterations:30_median            496 ns          500 ns            3
BM_ConstantVectorIteration/1000/iterations:30_stddev           18.9 ns         19.2 ns            3
BM_ConstantVectorIteration/1000/iterations:30_cv               3.77 %          3.77 %             3
BM_ConstantVectorIteration/10000/iterations:30_mean            4431 ns         4444 ns            3
BM_ConstantVectorIteration/10000/iterations:30_median          4387 ns         4400 ns            3
BM_ConstantVectorIteration/10000/iterations:30_stddev          97.8 ns          107 ns            3
BM_ConstantVectorIteration/10000/iterations:30_cv              2.21 %          2.41 %             3
BM_ConstantVectorIteration/100000/iterations:30_mean          46517 ns        46511 ns            3
BM_ConstantVectorIteration/100000/iterations:30_median        46114 ns        46100 ns            3
BM_ConstantVectorIteration/100000/iterations:30_stddev         1945 ns         1949 ns            3
BM_ConstantVectorIteration/100000/iterations:30_cv             4.18 %          4.19 %             3
BM_ConstantVectorIteration/1000000/iterations:30_mean        482143 ns       482156 ns            3
BM_ConstantVectorIteration/1000000/iterations:30_median      483942 ns       483933 ns            3
BM_ConstantVectorIteration/1000000/iterations:30_stddev        5781 ns         5776 ns            3
BM_ConstantVectorIteration/1000000/iterations:30_cv            1.20 %          1.20 %             3
BM_ConstantVectorIteration/10000000/iterations:30_mean      4950603 ns      4946356 ns            3
BM_ConstantVectorIteration/10000000/iterations:30_median    4944633 ns      4944633 ns            3
BM_ConstantVectorIteration/10000000/iterations:30_stddev      18244 ns        11315 ns            3
BM_ConstantVectorIteration/10000000/iterations:30_cv           0.37 %          0.23 %             3
