Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T02:34:31+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 1.89, 2.33, 2.61
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
BM_StdVectorAccess/10000000/iterations:30_cv                   1.02 %          0.96 %             3
BM_ConstantVectorAccess/10/iterations:30_mean                  64.8 ns         66.7 ns            3
BM_ConstantVectorAccess/10/iterations:30_median                54.2 ns         66.7 ns            3
BM_ConstantVectorAccess/10/iterations:30_stddev                19.6 ns        0.000 ns            3
BM_ConstantVectorAccess/10/iterations:30_cv                   30.31 %          0.00 %             3
BM_ConstantVectorAccess/100/iterations:30_mean                  150 ns          144 ns            3
BM_ConstantVectorAccess/100/iterations:30_median                142 ns          133 ns            3
BM_ConstantVectorAccess/100/iterations:30_stddev               22.6 ns         50.9 ns            3
BM_ConstantVectorAccess/100/iterations:30_cv                  15.10 %         35.25 %             3
BM_ConstantVectorAccess/1000/iterations:30_mean                1047 ns         1044 ns            3
BM_ConstantVectorAccess/1000/iterations:30_median               997 ns         1000 ns            3
BM_ConstantVectorAccess/1000/iterations:30_stddev              89.4 ns          107 ns            3
BM_ConstantVectorAccess/1000/iterations:30_cv                  8.54 %         10.26 %             3
BM_ConstantVectorAccess/10000/iterations:30_mean               9523 ns         9533 ns            3
BM_ConstantVectorAccess/10000/iterations:30_median             9444 ns         9467 ns            3
BM_ConstantVectorAccess/10000/iterations:30_stddev              142 ns          145 ns            3
BM_ConstantVectorAccess/10000/iterations:30_cv                 1.49 %          1.52 %             3
BM_ConstantVectorAccess/100000/iterations:30_mean             96713 ns        96533 ns            3
BM_ConstantVectorAccess/100000/iterations:30_median           96869 ns        96867 ns            3
BM_ConstantVectorAccess/100000/iterations:30_stddev             846 ns          666 ns            3
BM_ConstantVectorAccess/100000/iterations:30_cv                0.88 %          0.69 %             3
BM_ConstantVectorAccess/1000000/iterations:30_mean           963715 ns       962778 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_median         962974 ns       962300 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_stddev           1722 ns         1604 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_cv               0.18 %          0.17 %             3
BM_ConstantVectorAccess/10000000/iterations:30_mean         9883827 ns      9870789 ns            3
BM_ConstantVectorAccess/10000000/iterations:30_median       9879560 ns      9871233 ns            3
BM_ConstantVectorAccess/10000000/iterations:30_stddev         16312 ns        17904 ns            3
BM_ConstantVectorAccess/10000000/iterations:30_cv              0.17 %          0.18 %             3
BM_StdVectorIteration/10/iterations:30_mean                    50.5 ns         77.8 ns            3
BM_StdVectorIteration/10/iterations:30_median                  37.5 ns         66.7 ns            3
BM_StdVectorIteration/10/iterations:30_stddev                  22.5 ns         19.2 ns            3
BM_StdVectorIteration/10/iterations:30_cv                     44.50 %         24.74 %             3
BM_StdVectorIteration/100/iterations:30_mean                   95.8 ns          111 ns            3
BM_StdVectorIteration/100/iterations:30_median                 88.9 ns        100.0 ns            3
BM_StdVectorIteration/100/iterations:30_stddev                 13.3 ns         19.2 ns            3
BM_StdVectorIteration/100/iterations:30_cv                    13.83 %         17.32 %             3
BM_StdVectorIteration/1000/iterations:30_mean                   689 ns          700 ns            3
BM_StdVectorIteration/1000/iterations:30_median                 700 ns          700 ns            3
BM_StdVectorIteration/1000/iterations:30_stddev                37.9 ns         33.3 ns            3
BM_StdVectorIteration/1000/iterations:30_cv                    5.51 %          4.76 %             3
BM_StdVectorIteration/10000/iterations:30_mean                 6481 ns         6467 ns            3
BM_StdVectorIteration/10000/iterations:30_median               6563 ns         6533 ns            3
BM_StdVectorIteration/10000/iterations:30_stddev                175 ns          176 ns            3
BM_StdVectorIteration/10000/iterations:30_cv                   2.71 %          2.73 %             3
BM_StdVectorIteration/100000/iterations:30_mean               63636 ns        63633 ns            3
BM_StdVectorIteration/100000/iterations:30_median             63614 ns        63600 ns            3
BM_StdVectorIteration/100000/iterations:30_stddev               139 ns          120 ns            3
BM_StdVectorIteration/100000/iterations:30_cv                  0.22 %          0.19 %             3
BM_StdVectorIteration/1000000/iterations:30_mean             641383 ns       641044 ns            3
BM_StdVectorIteration/1000000/iterations:30_median           641744 ns       641433 ns            3
BM_StdVectorIteration/1000000/iterations:30_stddev             3733 ns         3865 ns            3
BM_StdVectorIteration/1000000/iterations:30_cv                 0.58 %          0.60 %             3
BM_StdVectorIteration/10000000/iterations:30_mean           6527294 ns      6519844 ns            3
BM_StdVectorIteration/10000000/iterations:30_median         6558982 ns      6547833 ns            3
BM_StdVectorIteration/10000000/iterations:30_stddev           68421 ns        62231 ns            3
BM_StdVectorIteration/10000000/iterations:30_cv                1.05 %          0.95 %             3
BM_ConstantVectorIteration/10/iterations:30_mean               62.5 ns         66.7 ns            3
BM_ConstantVectorIteration/10/iterations:30_median             51.4 ns         66.7 ns            3
BM_ConstantVectorIteration/10/iterations:30_stddev             32.0 ns         33.3 ns            3
BM_ConstantVectorIteration/10/iterations:30_cv                51.28 %         50.00 %             3
BM_ConstantVectorIteration/100/iterations:30_mean              99.5 ns          100 ns            3
BM_ConstantVectorIteration/100/iterations:30_median            84.7 ns          100 ns            3
BM_ConstantVectorIteration/100/iterations:30_stddev            26.9 ns         66.7 ns            3
BM_ConstantVectorIteration/100/iterations:30_cv               27.00 %         66.67 %             3
BM_ConstantVectorIteration/1000/iterations:30_mean              616 ns          600 ns            3
BM_ConstantVectorIteration/1000/iterations:30_median            614 ns          600 ns            3
BM_ConstantVectorIteration/1000/iterations:30_stddev           36.9 ns         33.3 ns            3
BM_ConstantVectorIteration/1000/iterations:30_cv               5.99 %          5.56 %             3
BM_ConstantVectorIteration/10000/iterations:30_mean            5625 ns         5644 ns            3
BM_ConstantVectorIteration/10000/iterations:30_median          5578 ns         5600 ns            3
BM_ConstantVectorIteration/10000/iterations:30_stddev           210 ns          204 ns            3
BM_ConstantVectorIteration/10000/iterations:30_cv              3.74 %          3.61 %             3
BM_ConstantVectorIteration/100000/iterations:30_mean          57558 ns        57467 ns            3
BM_ConstantVectorIteration/100000/iterations:30_median        56968 ns        56967 ns            3
BM_ConstantVectorIteration/100000/iterations:30_stddev         1213 ns         1074 ns            3
BM_ConstantVectorIteration/100000/iterations:30_cv             2.11 %          1.87 %             3
BM_ConstantVectorIteration/1000000/iterations:30_mean        562486 ns       562056 ns            3
BM_ConstantVectorIteration/1000000/iterations:30_median      563550 ns       563300 ns            3
BM_ConstantVectorIteration/1000000/iterations:30_stddev        3687 ns         3886 ns            3
BM_ConstantVectorIteration/1000000/iterations:30_cv            0.66 %          0.69 %             3
BM_ConstantVectorIteration/10000000/iterations:30_mean      5779038 ns      5758578 ns            3
BM_ConstantVectorIteration/10000000/iterations:30_median    5780760 ns      5770367 ns            3
BM_ConstantVectorIteration/10000000/iterations:30_stddev      47022 ns        25698 ns            3
BM_ConstantVectorIteration/10000000/iterations:30_cv           0.81 %          0.45 %             3
