Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T02:38:44+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.53, 2.59, 2.62
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
BM_StdVectorIteration/10000/iterations:30_cv                   2.84 %          2.58 %             3
BM_StdVectorIteration/100000/iterations:30_mean               62837 ns        62811 ns            3
BM_StdVectorIteration/100000/iterations:30_median             62743 ns        62767 ns            3
BM_StdVectorIteration/100000/iterations:30_stddev               241 ns          204 ns            3
BM_StdVectorIteration/100000/iterations:30_cv                  0.38 %          0.32 %             3
BM_StdVectorIteration/1000000/iterations:30_mean             631149 ns       630900 ns            3
BM_StdVectorIteration/1000000/iterations:30_median           630746 ns       630400 ns            3
BM_StdVectorIteration/1000000/iterations:30_stddev             1068 ns         1198 ns            3
BM_StdVectorIteration/1000000/iterations:30_cv                 0.17 %          0.19 %             3
BM_StdVectorIteration/10000000/iterations:30_mean           6416038 ns      6402967 ns            3
BM_StdVectorIteration/10000000/iterations:30_median         6402932 ns      6392233 ns            3
BM_StdVectorIteration/10000000/iterations:30_stddev           32469 ns        20258 ns            3
BM_StdVectorIteration/10000000/iterations:30_cv                0.51 %          0.32 %             3
BM_ConstantVectorIteration/10/iterations:30_mean               56.0 ns         66.7 ns            3
BM_ConstantVectorIteration/10/iterations:30_median             50.0 ns         66.7 ns            3
BM_ConstantVectorIteration/10/iterations:30_stddev             15.5 ns        0.000 ns            3
BM_ConstantVectorIteration/10/iterations:30_cv                27.63 %          0.00 %             3
BM_ConstantVectorIteration/100/iterations:30_mean              93.1 ns         88.9 ns            3
BM_ConstantVectorIteration/100/iterations:30_median            80.6 ns        100.0 ns            3
BM_ConstantVectorIteration/100/iterations:30_stddev            24.1 ns         19.2 ns            3
BM_ConstantVectorIteration/100/iterations:30_cv               25.87 %         21.65 %             3
BM_ConstantVectorIteration/1000/iterations:30_mean              626 ns          622 ns            3
BM_ConstantVectorIteration/1000/iterations:30_median            619 ns          600 ns            3
BM_ConstantVectorIteration/1000/iterations:30_stddev           19.7 ns         38.5 ns            3
BM_ConstantVectorIteration/1000/iterations:30_cv               3.14 %          6.19 %             3
BM_ConstantVectorIteration/10000/iterations:30_mean            5623 ns         5633 ns            3
BM_ConstantVectorIteration/10000/iterations:30_median          5464 ns         5467 ns            3
BM_ConstantVectorIteration/10000/iterations:30_stddev           297 ns          289 ns            3
BM_ConstantVectorIteration/10000/iterations:30_cv              5.28 %          5.12 %             3
BM_ConstantVectorIteration/100000/iterations:30_mean          56764 ns        56389 ns            3
BM_ConstantVectorIteration/100000/iterations:30_median        56218 ns        56233 ns            3
BM_ConstantVectorIteration/100000/iterations:30_stddev         1277 ns          615 ns            3
BM_ConstantVectorIteration/100000/iterations:30_cv             2.25 %          1.09 %             3
BM_ConstantVectorIteration/1000000/iterations:30_mean        557644 ns       556511 ns            3
BM_ConstantVectorIteration/1000000/iterations:30_median      557228 ns       555700 ns            3
BM_ConstantVectorIteration/1000000/iterations:30_stddev        1412 ns         1611 ns            3
BM_ConstantVectorIteration/1000000/iterations:30_cv            0.25 %          0.29 %             3
BM_ConstantVectorIteration/10000000/iterations:30_mean      5646206 ns      5636000 ns            3
BM_ConstantVectorIteration/10000000/iterations:30_median    5621357 ns      5618733 ns            3
BM_ConstantVectorIteration/10000000/iterations:30_stddev      45294 ns        31978 ns            3
BM_ConstantVectorIteration/10000000/iterations:30_cv           0.80 %          0.57 %             3
