Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T01:30:24+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 2.06, 2.51, 3.64
-----------------------------------------------------------------------------------------------------
Benchmark                                                           Time             CPU   Iterations
BM_ConstantVectorAccess/100000/iterations:30_cv                  2.43 %          2.43 %             3
BM_ConstantVectorAccess/1000000/iterations:30_mean             776862 ns       776867 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_median           779968 ns       780000 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_stddev             5484 ns         5514 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_cv                 0.71 %          0.71 %             3
BM_ConstantVectorAccess/10000000/iterations:30_mean           7752195 ns      7733633 ns            3
BM_ConstantVectorAccess/10000000/iterations:30_median         7723751 ns      7723767 ns            3
BM_ConstantVectorAccess/10000000/iterations:30_stddev           53240 ns        21168 ns            3
BM_ConstantVectorAccess/10000000/iterations:30_cv                0.69 %          0.27 %             3
BM_StdVectorIteration/10/iterations:30_mean                      51.8 ns         66.7 ns            3
BM_StdVectorIteration/10/iterations:30_median                    45.8 ns         66.7 ns            3
BM_StdVectorIteration/10/iterations:30_stddev                    18.1 ns         33.3 ns            3
BM_StdVectorIteration/10/iterations:30_cv                       34.97 %         50.00 %             3
BM_StdVectorIteration/100/iterations:30_mean                     37.0 ns         33.3 ns            3
BM_StdVectorIteration/100/iterations:30_median                   29.2 ns         33.3 ns            3
BM_StdVectorIteration/100/iterations:30_stddev                   14.8 ns         33.3 ns            3
BM_StdVectorIteration/100/iterations:30_cv                      40.08 %        100.00 %             3
BM_StdVectorIteration/1000/iterations:30_mean                    75.9 ns         66.7 ns            3
BM_StdVectorIteration/1000/iterations:30_median                  70.8 ns         66.7 ns            3
BM_StdVectorIteration/1000/iterations:30_stddev                  10.0 ns         33.3 ns            3
BM_StdVectorIteration/1000/iterations:30_cv                     13.23 %         50.00 %             3
BM_StdVectorIteration/10000/iterations:30_mean                    577 ns          589 ns            3
BM_StdVectorIteration/10000/iterations:30_median                  599 ns          600 ns            3
BM_StdVectorIteration/10000/iterations:30_stddev                 39.3 ns         50.9 ns            3
BM_StdVectorIteration/10000/iterations:30_cv                     6.81 %          8.65 %             3
BM_StdVectorIteration/100000/iterations:30_mean                  5655 ns         5656 ns            3
BM_StdVectorIteration/100000/iterations:30_median                5510 ns         5533 ns            3
BM_StdVectorIteration/100000/iterations:30_stddev                 267 ns          271 ns            3
BM_StdVectorIteration/100000/iterations:30_cv                    4.72 %          4.80 %             3
BM_StdVectorIteration/1000000/iterations:30_mean                55146 ns        55100 ns            3
BM_StdVectorIteration/1000000/iterations:30_median              55178 ns        55167 ns            3
BM_StdVectorIteration/1000000/iterations:30_stddev                199 ns          145 ns            3
BM_StdVectorIteration/1000000/iterations:30_cv                   0.36 %          0.26 %             3
BM_StdVectorIteration/10000000/iterations:30_mean              666192 ns       666189 ns            3
BM_StdVectorIteration/10000000/iterations:30_median            668619 ns       668600 ns            3
BM_StdVectorIteration/10000000/iterations:30_stddev              4574 ns         4557 ns            3
BM_StdVectorIteration/10000000/iterations:30_cv                  0.69 %          0.68 %             3
BM_ConstantVectorIteration/10/iterations:30_mean                 85.2 ns          111 ns            3
BM_ConstantVectorIteration/10/iterations:30_median               37.5 ns         66.7 ns            3
BM_ConstantVectorIteration/10/iterations:30_stddev               89.9 ns         77.0 ns            3
BM_ConstantVectorIteration/10/iterations:30_cv                 105.54 %         69.28 %             3
BM_ConstantVectorIteration/100/iterations:30_mean                86.1 ns        100.0 ns            3
BM_ConstantVectorIteration/100/iterations:30_median              76.4 ns          100 ns            3
BM_ConstantVectorIteration/100/iterations:30_stddev              18.1 ns         33.3 ns            3
BM_ConstantVectorIteration/100/iterations:30_cv                 20.99 %         33.33 %             3
BM_ConstantVectorIteration/1000/iterations:30_mean                456 ns          433 ns            3
BM_ConstantVectorIteration/1000/iterations:30_median              447 ns          433 ns            3
BM_ConstantVectorIteration/1000/iterations:30_stddev             14.4 ns         33.3 ns            3
BM_ConstantVectorIteration/1000/iterations:30_cv                 3.17 %          7.69 %             3
BM_ConstantVectorIteration/10000/iterations:30_mean              4201 ns         4222 ns            3
BM_ConstantVectorIteration/10000/iterations:30_median            4179 ns         4200 ns            3
BM_ConstantVectorIteration/10000/iterations:30_stddev            97.8 ns          102 ns            3
BM_ConstantVectorIteration/10000/iterations:30_cv                2.33 %          2.41 %             3
BM_ConstantVectorIteration/100000/iterations:30_mean            42322 ns        42333 ns            3
BM_ConstantVectorIteration/100000/iterations:30_median          42147 ns        42167 ns            3
BM_ConstantVectorIteration/100000/iterations:30_stddev           1029 ns         1027 ns            3
BM_ConstantVectorIteration/100000/iterations:30_cv               2.43 %          2.43 %             3
BM_ConstantVectorIteration/1000000/iterations:30_mean          490772 ns       488467 ns            3
BM_ConstantVectorIteration/1000000/iterations:30_median        490982 ns       488167 ns            3
BM_ConstantVectorIteration/1000000/iterations:30_stddev          2411 ns          825 ns            3
BM_ConstantVectorIteration/1000000/iterations:30_cv              0.49 %          0.17 %             3
BM_ConstantVectorIteration/10000000/iterations:30_mean        5034456 ns      5002422 ns            3
BM_ConstantVectorIteration/10000000/iterations:30_median      5029696 ns      5027567 ns            3
BM_ConstantVectorIteration/10000000/iterations:30_stddev        13853 ns        52208 ns            3
BM_ConstantVectorIteration/10000000/iterations:30_cv             0.28 %          1.04 %             3
