Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T01:50:37+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.13, 2.37, 2.58
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
BM_ConstantVectorPop/10000000/iterations:30_mean            8269144 ns      8264078 ns            3
BM_ConstantVectorPop/10000000/iterations:30_median          8270820 ns      8265033 ns            3
BM_ConstantVectorPop/10000000/iterations:30_stddev            32123 ns        32211 ns            3
BM_ConstantVectorPop/10000000/iterations:30_cv                 0.39 %          0.39 %             3
BM_StdVectorAccess/10/iterations:30_mean                       53.7 ns         55.6 ns            3
BM_StdVectorAccess/10/iterations:30_median                     37.5 ns         66.7 ns            3
BM_StdVectorAccess/10/iterations:30_stddev                     29.3 ns         19.2 ns            3
BM_StdVectorAccess/10/iterations:30_cv                        54.52 %         34.64 %             3
BM_StdVectorAccess/100/iterations:30_mean                      77.3 ns         66.7 ns            3
BM_StdVectorAccess/100/iterations:30_median                    66.7 ns         66.7 ns            3
BM_StdVectorAccess/100/iterations:30_stddev                    22.1 ns         33.3 ns            3
BM_StdVectorAccess/100/iterations:30_cv                       28.65 %         50.00 %             3
BM_StdVectorAccess/1000/iterations:30_mean                      472 ns          467 ns            3
BM_StdVectorAccess/1000/iterations:30_median                    471 ns          467 ns            3
BM_StdVectorAccess/1000/iterations:30_stddev                   20.9 ns         33.3 ns            3
BM_StdVectorAccess/1000/iterations:30_cv                       4.42 %          7.14 %             3
BM_StdVectorAccess/10000/iterations:30_mean                    4006 ns         4000 ns            3
BM_StdVectorAccess/10000/iterations:30_median                  3958 ns         3967 ns            3
BM_StdVectorAccess/10000/iterations:30_stddev                  83.8 ns         88.2 ns            3
BM_StdVectorAccess/10000/iterations:30_cv                      2.09 %          2.20 %             3
BM_StdVectorAccess/100000/iterations:30_mean                  40034 ns        40056 ns            3
BM_StdVectorAccess/100000/iterations:30_median                40074 ns        40100 ns            3
BM_StdVectorAccess/100000/iterations:30_stddev                 73.0 ns         77.0 ns            3
BM_StdVectorAccess/100000/iterations:30_cv                     0.18 %          0.19 %             3
BM_StdVectorAccess/1000000/iterations:30_mean                401680 ns       401311 ns            3
BM_StdVectorAccess/1000000/iterations:30_median              401526 ns       401333 ns            3
BM_StdVectorAccess/1000000/iterations:30_stddev                 468 ns          168 ns            3
